id,nombre_producto,tipo,masa,peso
1,Cherilyn,refrigerado,liquida,842154
2,Merralee,normal,gas,7665508
3,Charlotte,inflamable,solida,9138424
4,Johan,normal,solida,6423622
5,Renie,inflamable,liquida,2423397
6,Griselda,normal,solida,96277
7,Pietro,inflamable,solida,9133761
8,Cornie,normal,gas,127935
9,Dory,refrigerado,solida,4018009
10,Mara,normal,gas,4951271
11,Margalo,normal,solida,679047
12,Rosemonde,normal,liquida,8068182
13,Obie,normal,liquida,8938371
14,Morly,inflamable,liquida,7873764
15,Darcy,inflamable,gas,270066
16,Kelsi,refrigerado,solida,6367042
17,Naoma,normal,solida,3208841
18,Bettina,refrigerado,liquida,846544
19,Natividad,refrigerado,solida,6079835
20,Joyce,refrigerado,solida,9068950
21,Leon,normal,liquida,6607636
22,Khalil,normal,solida,9446071
23,Trev,inflamable,liquida,3896525
24,Hobard,normal,liquida,5866226
25,Merrily,refrigerado,solida,5096604
26,Dorena,inflamable,liquida,6810331
27,Alberto,refrigerado,liquida,5247484
28,Marthe,inflamable,liquida,3393973
29,Ferris,refrigerado,liquida,4639838
30,Cathlene,refrigerado,liquida,4365179
31,Rebeca,inflamable,solida,2385626
32,Kit,refrigerado,gas,5684023
33,Jeremias,normal,gas,3379152
34,Humphrey,inflamable,solida,6415313
35,Addy,inflamable,solida,7022102
36,Everard,refrigerado,solida,4393772
37,Loni,normal,gas,9449434
38,Giovanna,refrigerado,solida,9168894
39,Catarina,normal,gas,8408689
40,Bridie,inflamable,gas,1561771
41,Codie,inflamable,gas,431980
42,Blane,inflamable,solida,3439282
43,Ellary,refrigerado,gas,6635183
44,Axe,inflamable,solida,6291883
45,Selle,inflamable,gas,4466851
46,Karole,refrigerado,liquida,2830078
47,Maryanna,normal,liquida,151488
48,Rhys,normal,liquida,9525835
49,Cody,normal,liquida,2439776
50,Jordanna,inflamable,liquida,5190589
51,Roderic,normal,liquida,8439257
52,Moss,normal,liquida,6519568
53,Brandyn,normal,solida,1151694
54,Georgeanna,refrigerado,gas,6004480
55,Timmy,normal,liquida,9292858
56,Bernie,normal,liquida,7508993
57,Anatola,refrigerado,gas,6603545
58,Karlen,refrigerado,liquida,9060109
59,Giffer,inflamable,solida,8989410
60,Brandy,refrigerado,liquida,6720979
61,Audrye,normal,gas,8670886
62,Cecile,inflamable,liquida,2432557
63,Valeria,refrigerado,solida,7337649
64,Guenevere,inflamable,gas,4794301
65,Kate,normal,liquida,4641603
66,Constantia,refrigerado,liquida,1012891
67,Shirlee,inflamable,liquida,3145301
68,Katheryn,refrigerado,solida,2452372
69,Esra,normal,solida,924351
70,Rochelle,inflamable,solida,6211363
71,Ursa,inflamable,solida,1604982
72,Rodolphe,normal,liquida,6067463
73,Curran,inflamable,solida,5547302
74,Kathlin,normal,solida,649474
75,Deeann,inflamable,gas,1816072
76,Tilly,refrigerado,liquida,4185608
77,Fran,normal,gas,3689104
78,Bradford,normal,liquida,2528120
79,Portia,normal,solida,2899324
80,Reina,inflamable,liquida,8168437
81,Francene,normal,solida,8252747
82,Angie,inflamable,liquida,3029840
83,Adda,refrigerado,solida,6740138
84,Anthia,refrigerado,liquida,4393095
85,Florian,inflamable,gas,910486
86,Jacenta,normal,solida,4880607
87,Paco,inflamable,liquida,7934382
88,Lilli,inflamable,gas,9465766
89,Tanya,inflamable,liquida,321163
90,Connie,inflamable,solida,5893502
91,Ulberto,inflamable,gas,2375414
92,Diego,normal,solida,8466647
93,Nathaniel,refrigerado,gas,9788487
94,Barbabra,inflamable,liquida,6733184
95,Kath,inflamable,gas,8698256
96,Gill,normal,solida,8276558
97,Timothee,refrigerado,liquida,2661524
98,Perry,inflamable,liquida,1671698
99,Leone,normal,solida,8684912
100,Benny,inflamable,solida,4004038
101,Mohammed,inflamable,solida,7818255
102,Moselle,refrigerado,solida,3887810
103,Zedekiah,inflamable,gas,246240
104,Theda,normal,liquida,2972390
105,Vicky,inflamable,liquida,3997249
106,Cleon,normal,solida,6813935
107,Wini,inflamable,gas,2269900
108,Gregoire,normal,liquida,2239344
109,Ingeberg,normal,liquida,130152
110,Brannon,inflamable,gas,716640
111,Benjy,refrigerado,solida,8803154
112,Clotilda,normal,solida,747714
113,Ellette,refrigerado,liquida,618620
114,Carny,inflamable,liquida,9545380
115,Anna,refrigerado,solida,6903918
116,Gilligan,normal,liquida,5473526
117,Coreen,refrigerado,liquida,1522837
118,Eal,refrigerado,solida,7394157
119,Axe,refrigerado,solida,8388677
120,Raoul,normal,liquida,9420346
121,Truman,normal,solida,4646147
122,Tonnie,inflamable,solida,6747856
123,Domenico,refrigerado,liquida,367920
124,Sophie,normal,liquida,2194856
125,Yasmin,inflamable,solida,9858567
126,Kristi,normal,liquida,6865928
127,Clarisse,inflamable,liquida,2948221
128,Alonso,refrigerado,solida,5955271
129,Madlen,inflamable,solida,7985251
130,Madella,refrigerado,liquida,5052924
131,Portie,normal,gas,7281649
132,Lyndsey,inflamable,solida,272408
133,Gray,normal,solida,2179381
134,Aubry,refrigerado,gas,5730085
135,Marijo,refrigerado,liquida,9098879
136,Ferguson,inflamable,solida,8537557
137,Valentina,refrigerado,solida,7241758
138,Chelsie,refrigerado,solida,5395491
139,Kaspar,normal,liquida,8548595
140,Tris,refrigerado,solida,9482749
